hospital_id,hospital_name
0,Wallace-Hamilton
1,"Burke, Griffin and Cooper"
2,Walton LLC
3,Garcia Ltd
4,"Jones, Brown and Murray"
5,Boyd PLC
6,"Wheeler, Bryant and Johns"
7,Brown Inc
8,"Smith, Edwards and Obrien"
9,Brown-Golden
10,Little-Spencer
11,Rose Inc
12,"Malone, Thompson and Mejia"
13,Mcneil-Ali
14,"Jones, Taylor and Garcia"
15,Richardson-Powell
16,Castaneda-Hardy
17,Burch-White
18,Cunningham and Sons
19,"Bell, Mcknight and Willis"
20,Pugh-Rogers
21,"Rush, Owens and Johnson"
22,Pearson LLC
23,Taylor and Sons
24,Schultz-Powers
25,Jordan Inc
26,Lewis-Nelson
27,Shea LLC
28,Huynh PLC
29,Vaughn PLC
